,TC
Abr14,2.79444
May14,2.78695238095238
Jun14,2.79452380952381
Jul14,2.78639523809524
Ago14,2.81476666666667
Sep14,2.86469545454545
Oct14,2.90670909090909
Nov14,2.92551
Dic14,2.9625380952381
Ene15,3.006785
Feb15,3.079435
Mar15,3.09223636363636
Abr15,3.12064
May15,3.151345
Jun15,3.16178095238095
Jul15,3.181965
Ago15,3.23944285714286
Sep15,3.21864545454545
Oct15,3.24952
Nov15,3.3382
Dic15,3.38377619047619
Ene16,3.43865
Feb16,3.50695714285714
Mar16,3.40692857142857
Abr16,3.3011
May16,3.33468181818182
Jun16,3.3161
Jul16,3.29947368421053
Ago16,3.33382727272727
Sep16,3.38245909090909
Oct16,3.38601904761905
Nov16,3.40348947368421
Dic16,3.39542380952381
Ene17,3.33987272727273
Feb17,3.259575
Mar17,3.26398260869565
Abr17,3.24775555555556
May17,3.27346363636364
Jun17,3.267975
Jul17,3.24937368421053
Ago17,3.24155909090909
Sep17,3.24652380952381
Oct17,3.25129545454545
Nov17,3.24079047619048
Dic17,3.2465
Ene18,3.21490952380952
Feb18,3.24881
Mar18,3.252255
Abr18,3.230685
May18,3.27410909090909
Jun18,3.271345
Jul18,3.27722380952381
Ago18,3.28871904761905
Sep18,3.31181
Oct18,3.33476818181818
Nov18,3.37565
Dic18,3.36438421052632
Ene19,3.34381363636364
Feb19,3.3216
Mar19,3.30431904761905
Abr19,3.303405
May19,3.33350454545455
Jun19,3.325475
Jul19,3.29040476190476
Ago19,3.37871
Sep19,3.35719047619048
Oct19,3.36007619047619
Nov19,3.372715
Dic19,3.3547380952381
Ene20,3.32776363636364
Feb20,3.39138
Mar20,3.49255454545455
Abr20,3.39842
May20,3.42185
Jun20,3.47109523809524
Jul20,3.51734090909091
Ago20,3.56454761904762
Sep20,3.55575909090909
Oct20,3.59613636363636
Nov20,3.60871904761905
Dic20,3.60324285714286
Ene21,3.62495
Feb21,3.64569
Mar21,3.70917826086957
Abr21,3.699525
May21,3.77475714285714
Jun21,3.91160476190476
Jul21,3.942455
Ago21,4.08725238095238
Sep21,4.10805454545454
Oct21,4.01368
Nov21,4.02049523809524
Dic21,4.03686818181818
Ene22,3.88834285714286
Feb22,3.790945
